0;0;0;0;land;false;unknown;0
1;200;166;145;land;false;desert;1
2;211;153;207;land;false;plains;1
3;201;214;222;land;true;plains;1
4;232;217;228;land;false;plains;1
5;214;227;60;land;false;jungle;1
6;247;121;144;land;false;plains;1
7;127;180;235;land;false;desert;1
8;199;186;229;land;false;plains;1
9;246;198;87;land;false;mountain;1
10;221;236;238;land;true;plains;1
11;148;152;226;land;false;plains;1
12;212;156;153;land;false;mountain;1
13;252;14;253;land;false;mountain;1
14;166;249;179;land;false;desert;1
15;248;210;251;land;false;plains;1
16;251;119;182;land;false;desert;1
17;91;225;200;land;false;desert;1
18;188;160;153;land;false;plains;1
19;184;155;204;land;true;plains;1
20;196;97;249;land;false;desert;1
21;123;166;244;land;false;desert;1
22;201;243;210;land;false;forest;1
23;221;123;203;land;false;plains;1
24;233;155;230;land;false;plains;1
25;149;215;202;land;false;desert;1
26;123;234;219;land;false;plains;1
27;237;238;122;land;false;plains;1
28;240;169;185;land;true;plains;1
29;161;221;212;land;true;mountain;1
30;209;229;254;land;false;jungle;1
31;248;254;86;land;false;desert;1
32;229;244;213;land;false;hills;1
33;253;188;135;land;false;desert;1
34;219;221;78;land;true;jungle;1
35;232;237;70;land;false;desert;1
36;215;199;120;land;false;mountain;1
37;126;219;216;land;false;hills;1
38;224;234;137;land;false;mountain;1
39;232;209;121;land;false;plains;1
40;254;147;206;land;false;desert;1
41;54;250;214;land;false;desert;1
42;91;247;203;land;false;plains;1
43;220;153;182;land;false;desert;1
44;81;215;228;land;true;forest;1
45;191;100;249;land;false;desert;1
46;30;248;244;land;false;desert;1
47;201;119;198;land;false;plains;1
48;197;61;250;land;false;forest;1
49;188;239;202;land;false;mountain;1
50;210;160;138;land;true;plains;1
51;223;176;112;land;false;mountain;1
52;171;190;209;land;true;urban;1
53;226;252;114;land;false;mountain;1
54;215;223;202;land;false;plains;1
55;236;183;199;land;false;mountain;1
56;167;180;156;land;false;desert;1
57;162;250;129;land;false;forest;1
58;120;225;213;land;false;hills;1
59;201;222;148;land;false;desert;1
60;130;249;216;land;false;plains;1
61;147;174;230;land;false;desert;1
62;212;110;187;land;false;desert;1
63;238;180;86;land;true;mountain;1
