1;arms_factory;856.00;9.70;2402.00;5.45;0
1;arms_factory;860.00;9.75;2382.00;5.55;0
1;arms_factory;853.00;9.70;2382.00;3.39;0
1;arms_factory;856.00;9.70;2393.00;1.23;0
1;arms_factory;881.00;13.10;2390.00;1.33;0
1;arms_factory;866.00;9.70;2415.00;5.46;0
1;industrial_complex;847.00;9.70;2401.00;1.84;0
1;industrial_complex;847.00;9.70;2400.00;4.51;0
1;industrial_complex;850.00;9.70;2399.00;6.06;0
1;industrial_complex;848.00;9.70;2389.00;3.90;0
1;industrial_complex;841.00;9.70;2389.00;5.11;0
1;industrial_complex;860.00;9.70;2403.00;2.95;0
1;air_base;873.00;9.70;2405.00;4.51;0
1;naval_base;865.00;9.70;2416.00;-2.86;11821
1;naval_base;840.00;9.70;2400.00;-2.55;11821
1;naval_base;872.00;9.70;2409.00;-2.79;8974
1;bunker;851.00;9.70;2384.00;4.42;0
1;bunker;855.00;9.70;2400.00;5.62;0
1;bunker;881.00;11.45;2392.00;3.46;0
1;coastal_bunker;859.00;9.70;2412.00;-2.86;0
1;coastal_bunker;835.00;9.70;2399.00;-2.55;0
1;coastal_bunker;872.00;9.70;2409.00;-2.79;0
1;dockyard;856.00;9.50;2411.00;-2.86;0
1;anti_air_building;849.00;9.70;2401.00;2.01;0
1;anti_air_building;845.00;9.70;2390.00;6.13;0
1;anti_air_building;859.00;9.70;2389.00;3.97;0
1;synthetic_refinery;859.00;9.70;2405.00;5.18;0
1;fuel_silo;874.00;9.70;2407.00;1.91;0
1;radar_station;860.00;9.70;2397.00;2.69;0
1;rocket_site;851.00;9.70;2395.00;0.96;0
1;nuclear_reactor;855.00;9.70;2406.00;3.63;0
2;arms_factory;371.00;9.80;2954.00;1.23;0
2;arms_factory;385.00;9.75;2948.00;1.33;0
2;arms_factory;289.00;10.38;2867.00;5.46;0
2;arms_factory;134.00;12.07;3030.00;1.84;0
2;arms_factory;329.00;9.70;2744.00;4.51;0
2;arms_factory;271.00;9.70;2829.00;6.06;0
2;industrial_complex;219.00;9.70;2583.00;3.90;0
2;industrial_complex;277.00;9.70;2921.00;5.11;0
2;industrial_complex;283.00;11.05;2912.00;2.95;0
2;industrial_complex;191.00;10.75;2917.00;4.51;0
2;industrial_complex;328.00;9.70;2862.00;0.89;0
2;industrial_complex;228.00;10.25;2972.00;5.01;0
2;air_base;219.00;9.70;2837.00;1.39;0
2;naval_base;263.00;9.50;2751.00;-0.46;12113
2;naval_base;219.00;9.70;2602.00;-3.33;8377
2;naval_base;188.00;9.50;2525.00;-0.42;9962
2;naval_base;220.00;9.50;2495.00;-1.43;12175
2;naval_base;167.00;9.50;2565.00;0.90;9108
